PRODUCTO INTERNO BRUTO TRIMESTRAL POR RAMAS DE ACTIVIDAD ECONOMICA;;;;;;;;;;;;;;;;;
A precios Corrientes - Series Sin Desestacionalizar  - III Trimestre de 2017;;;;;;;;;;;;;;;;;
Cifras Revisadas a noviembre 22 de 2017;;;;;;;;;;;;;;;;;
Miles de millones de pesos;;;;;;;;;;;;;;;;;
Fuente : DANE;;;;;;;;;;;;;;;;;
Esta publicación incluye los resultados obtenidos de las cuentas anuales 2014 definitivo y 2015 provisional, con lo cual se ajustan los valores trimestrales.;;;;;;;;;;;;;;;;;
Nota metodológica:  Por la metodología de índices encadenados el valor correspondiente al total del valor agregado y el PIB no corresponde a la sumatoria de sus componentes;;;;;;;;;;;;;;;;;
1. Estos resultados incorporan los cambios asociados a los impuestos que forman parte del cálculo del PIB, con motivo de la expedición de la ley 1819 de 2016;;;;;;;;;;;;;;;;;
P  Cifras Provisionales;;;;;;;;;;;;;;;;;
Pr  Cifras Preliminares;;;;;;;;;;;;;;;;;
Fecha: noviembre 22 de 2017;;;;;;;;;;;;;;;;;
Año;trimestre;Agricultura, ganadería, caza, silvicultura y pesca;Explotación de minas y canteras;Industrias manufactureras;Suministro de electricidad, gas y agua;Construcción;Comercio, reparación, restaurantes y hoteles;Transporte, almacenamiento y comunicaciones;Establecimientos financieros, seguros, actividades inmobiliarias y servicios a las empresas;Actividades de servicios sociales, comunales y personales;Subtotal Valor Agregado;   IVA no deducible;Derechos e impuestos sobre las importaciones;Impuestos excepto IVA;  Subvenciones;Total Impuestos 1;PRODUCTO INTERNO BRUTO
2000;I;4030;2907;6301;1535;1683;6198;2965;9962;7862;43443;1923;383;1141;84;3363;46806
2000;II;4304;2976;6904;1652;1911;6510;3136;10557;8795;46745;2074;429;1220;90;3633;50378
2000;III;4435;3312;7711;1759;2224;6754;3474;10834;8947;49450;2146;433;1339;99;3819;53269
2000;IV;4551;3166;8138;1870;2892;7465;3490;11671;10648;53891;2415;492;1394;114;4187;58078
2001;I;4424;2812;7278;1997;1677;6789;3445;10608;8601;47631;2124;498;1339;132;3829;51460
;II;4563;2877;7806;2082;2087;7106;3685;11209;9462;50877;2274;547;1342;145;4018;54895
;III;4705;3037;8130;2142;2569;7235;3979;11492;9604;52893;2361;530;1338;143;4086;56979
;IV;5101;2346;8715;2238;3690;8061;3974;12611;11246;57982;2719;528;1421;133;4535;62517
2002;I;4832;2422;7461;2147;1956;7093;3815;11318;9094;50138;2374;438;1252;107;3957;54095
;II;5087;2650;8465;2254;2768;7424;4098;12093;10202;55041;2620;523;1389;95;4437;59478
;III;5255;3381;8934;2333;3030;7704;4346;12370;10441;57794;2811;569;1439;93;4726;62520
;IV;5703;3416;9566;2423;4329;8586;4388;13457;12077;63945;3222;615;1554;106;5285;69230
2003;I;5485;3723;8832;2596;2338;7602;4281;12213;9756;56826;2970;586;1463;134;4885;61711
;II;5615;3606;9180;2740;2887;7931;4469;13026;10922;60376;3134;557;1534;155;5070;65446
;III;5689;4009;9980;2839;3217;8265;4869;13308;11023;63199;3334;570;1650;166;5388;68587
;IV;5894;3803;10783;2937;5248;9296;4930;14663;12971;70525;3864;571;1811;170;6076;76601
